temperature_2m,precipitation,snow_depth,pressure_msl,cloud_cover,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,date,hour,city
1.377,0.0,0.0,1014.9,1.0,8.350138,23.006226,277.4313,290.13638,2022-11-01,0,Sundsvall
0.527,0.0,0.0,1015.2,26.0,9.0645685,24.033876,276.84268,286.5349,2022-11-01,1,Sundsvall
0.227,0.0,0.0,1015.0,31.0,8.209263,22.7057,285.25516,295.34613,2022-11-01,2,Sundsvall
0.227,0.0,0.0,1015.0,40.0,8.557102,22.539564,284.6209,296.56497,2022-11-01,3,Sundsvall
0.07699999,0.0,0.0,1015.0,27.0,7.771331,20.447239,283.39252,296.11386,2022-11-01,4,Sundsvall
-0.423,0.0,0.0,1014.9,23.0,7.072878,18.204042,284.74362,294.53772,2022-11-01,5,Sundsvall
-1.173,0.0,0.0,1014.8,100.0,6.379216,13.896187,286.38962,286.55716,2022-11-01,6,Sundsvall
-1.223,0.0,0.0,1014.8,100.0,5.495161,7.6367526,301.60745,278.13,2022-11-01,7,Sundsvall
0.477,0.0,0.0,1014.9,67.0,6.489992,7.172949,289.44012,252.47433,2022-11-01,8,Sundsvall
2.0770001,0.0,0.0,1015.1,38.0,3.7064266,6.8777895,299.0545,227.12111,2022-11-01,9,Sundsvall
3.477,0.0,0.0,1014.9,32.0,2.0991426,5.8603754,300.96368,227.4896,2022-11-01,10,Sundsvall
4.527,0.0,0.0,1014.7,36.0,1.609969,0.71999997,26.564985,180.0,2022-11-01,11,Sundsvall
3.727,0.0,0.0,1014.3,44.0,1.1384199,2.5455842,18.435053,171.86998,2022-11-01,12,Sundsvall
3.2770002,0.0,0.0,1014.3,100.0,2.1897945,4.5820518,350.53775,135.0001,2022-11-01,13,Sundsvall
2.377,0.0,0.0,1014.0,100.0,0.8049845,4.6800003,333.43503,157.3801,2022-11-01,14,Sundsvall
0.67700005,0.0,0.0,1013.8,100.0,0.35999998,6.9899354,360.0,168.11136,2022-11-01,15,Sundsvall
1.9269999,0.0,0.0,1013.4,100.0,3.6,9.3876505,36.86999,175.60138,2022-11-01,16,Sundsvall
0.67700005,0.0,0.0,1013.2,100.0,3.8773184,12.397806,248.19853,205.82094,2022-11-01,17,Sundsvall
0.627,0.0,0.0,1013.0,100.0,5.4119864,14.264361,266.186,227.04541,2022-11-01,18,Sundsvall
2.3270001,0.0,0.0,1012.9,100.0,2.52,8.707237,360.0,209.7448,2022-11-01,19,Sundsvall
